Index	model name	x-value		y-value		z-value		hori-rotation   vert-rotation	size

0	floor.mqo	-252.398270 	-1.575182 	-93.000000 	-2.100001 	0.000000 	2.000000 
1 	wall.mqo	-249.113892 	72.221771 	0.000000 	-4.200000 	0.000000 	2.000000 
2 	wall.mqo	-391.915405 	-66.714836 	0.000000 	88.199966 	0.000000 	2.000000
3 	floor.mqo	-257.009674 	-141.856873 	-93.000000 	-2.269738 	-3.000000 	2.000000 
4 	bed.mqo		-320.772736 	34.168015 	-45.000000 	90.299965 	0.000000 	1.062882 
5 	window.mqo	-381.940796 	-39.112904 	18.000000 	90.299965 	0.000000 	2.000000
6 	Tele.mqo	-208.513763 	63.968666 	27.000000 	-4.737516 	0.000000 	1.041731 
7 	desk.mqo	-158.390640 	51.298721 	-69.000000 	-4.200000 	0.000000 	1.479898 
8 	chair.mqo	-154.544250 	15.944304 	-69.000000 	178.500092 	0.000000 	1.312200 
9 	sofa.mqo	-187.496536 	-207.775085 	-72.000000 	178.500092 	0.000000 	1.145904 
10	door.mqo	 -372.036682 	-184.631851 	-39.000000 	44.099998 	0.000000 	1.563743 
11 	drawer.mqo	-368.978943 	-29.132214 	-57.000000 	180.600098 	0.000000 	1.041731
12 	rug.mqo		-316.672607 	-12.819326 	-87.000000 	88.199966 	0.000000 	1.960200
13 	bicycle.mqo	-369.126221 	-96.035957 	-60.000000 	277.200378 	0.000000	1.372678 
14 	human.mqo	-192.286819 	-96.430634 	-72.000000	90.812088 	0.000000 	2.000000 
